preco,detalhes.Condomínio:,classe
5000,5,2
5000,1074,2
5000,2370,2
5000,2052,2
5000,1000,2
5200,764,2
5305,1100,2
5500,1603,2
5500,1450,2
5500,1500,2
5500,1000,2
5500,1849,2
5500,1318,2
5800,1200,2
5800,1200,2
6000,885,2
6000,380,2
6000,380,2
6000,900,2
6000,2459,2
6000,1290,2
6307,842,2
6500,2000,2
6500,400,2
6500,1700,2
6884,4000,2
7000,2100,2
7000,1090,2
7367,1157,2
7500,1951,2
7500,600,2
7500,2194,2
7500,2290,2
8000,6872,2
8000,1000,2
8000,1100,2
8000,100,2
8000,2000,2
8000,1270,2
8000,2521,2
8000,2000,2
8000,3787,2
8000,2593,2
8400,31,2
8500,3100,2
8500,1,2
8500,850,2
8500,2,2
9000,1650,2
9000,3700,2
9000,3700,2
9000,3556,2
9600,1062,2
9787,1537,2
9900,570,2
10000,1560,2
10000,180,2
10500,3325,2
11368,3488,2
12000,1700,2
12000,800,2
12000,260,2
12000,3783,2
12300,500,2
12800,3040,2
13050,5509,2
13800,2000,2
13800,4500,2
14000,2850,2
15000,1900,2
15000,4900,2
15000,279,2
15000,200,2
